Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face,Price_Per_SqFt,Down_Payment_Credit,Price_Per_Room
2009-01-16,2009,Norwalk,"$212,240.00","$437,000.00",Single Family,Detached House,3,3,967,1.025953,West,$451.91,"$10,925.00","$145,666.67"
2009-01-17,2009,Waterbury,"$265,000.00","$265,000.00",Three Family,Triplex,6,5,1892,1.025953,South,$140.06,"$6,625.00","$44,166.67"
2009-01-17,2009,Bridgeport,"$115,290.00","$289,900.00",Single Family,Detached House,3,1,963,1.025953,South,$301.04,"$7,247.50","$96,633.33"
2009-01-17,2009,Bridgeport,"$75,000.00","$75,000.00",Single Family,Detached House,3,3,977,1.025953,West,$76.77,"$1,875.00","$25,000.00"
2009-01-17,2009,Greenwich,"$2,695,000.00","$2,695,000.00",Single Family,Detached House,3,1,983,1.025953,South,"$2,741.61","$67,375.00","$898,333.33"
2009-01-18,2009,Bridgeport,"$128,381.00","$330,000.00",Single Family,Detached House,3,3,959,1.025953,North,$344.11,"$8,250.00","$110,000.00"
2009-01-18,2009,Greenwich,"$875,700.00","$1,372,500.00",Single Family,Detached House,3,1,1079,1.025953,East,"$1,272.01","$34,312.50","$457,500.00"
2009-01-18,2009,Greenwich,"$1,452,500.00","$2,000,000.00",Single Family,Detached House,3,2,973,1.025953,North,"$2,055.50","$50,000.00","$666,666.67"
2009-01-19,2009,Bridgeport,"$137,000.00","$137,000.00",Single Family,Detached House,3,1,1079,1.025953,North,$126.97,"$3,425.00","$45,666.67"
2009-01-22,2009,Waterbury,"$53,200.00","$289,000.00",Single Family,Detached House,3,3,999,1.025953,North,$289.29,"$7,225.00","$96,333.33"
2009-01-22,2009,Bridgeport,"$417,904.00","$232,677.00",Three Family,Triplex,6,5,1819,1.025953,West,$127.91,"$5,816.93","$38,779.50"
2009-01-23,2009,Bridgeport,"$105,560.00","$224,500.00",Single Family,Detached House,3,1,1062,1.025953,East,$211.39,"$5,612.50","$74,833.33"
2009-01-23,2009,Fairfield,"$545,860.00","$720,000.00",Single Family,Detached House,3,2,1056,1.025953,East,$681.82,"$18,000.00","$240,000.00"
2009-01-23,2009,Norwalk,"$198,310.00","$422,000.00",Single Family,Detached House,3,1,954,1.025953,East,$442.35,"$10,550.00","$140,666.67"
2009-01-24,2009,Norwalk,"$423,850.00","$740,000.00",Single Family,Detached House,3,2,1080,1.025953,West,$685.19,"$18,500.00","$246,666.67"
2009-01-24,2009,Greenwich,"$1,152,270.00","$1,750,000.00",Single Family,Detached House,3,3,1040,1.025953,South,"$1,682.69","$43,750.00","$583,333.33"
2009-01-24,2009,Waterbury,"$60,270.00","$154,000.00",Single Family,Detached House,3,2,1030,1.025953,East,$149.51,"$3,850.00","$51,333.33"
2009-01-26,2009,Fairfield,"$451,500.00","$1,000,000.00",Single Family,Detached House,3,1,1064,1.025953,South,$939.85,"$25,000.00","$333,333.33"
2009-01-26,2009,Bridgeport,"$117,670.00","$249,900.00",Single Family,Detached House,3,3,931,1.025953,North,$268.42,"$6,247.50","$83,300.00"
2009-01-29,2009,Norwalk,"$350,000.00","$1,600,000.00",Single Family,Detached House,3,2,904,1.025953,East,"$1,769.91","$40,000.00","$533,333.33"
2009-01-29,2009,Fairfield,"$352,380.00","$400,000.00",Single Family,Detached House,3,2,955,1.025953,South,$418.85,"$10,000.00","$133,333.33"
2009-01-29,2009,Norwalk,"$510,000.00","$510,000.00",Single Family,Detached House,3,1,1080,1.025953,South,$472.22,"$12,750.00","$170,000.00"
2009-01-30,2009,Waterbury,"$59,010.00","$129,900.00",Single Family,Detached House,3,1,1046,1.025953,South,$124.19,"$3,247.50","$43,300.00"
2009-01-30,2009,Norwalk,"$1,954,890.00","$2,700,000.00",Single Family,Detached House,3,3,1034,1.025953,South,"$2,611.22","$67,500.00","$900,000.00"
2009-01-30,2009,Norwalk,"$412,440.00","$712,500.00",Single Family,Detached House,3,3,1041,1.025953,East,$684.44,"$17,812.50","$237,500.00"
2009-01-31,2009,Greenwich,"$6,246,170.00","$8,500,000.00",Single Family,Detached House,3,1,1080,1.025953,South,"$7,870.37","$212,500.00","$2,833,333.33"
2009-01-31,2009,Greenwich,"$2,540,720.00","$3,845,000.00",Single Family,Detached House,3,3,1000,1.025953,East,"$3,845.00","$96,125.00","$1,281,666.67"
2009-01-31,2009,Waterbury,"$62,650.00","$101,555.00",Single Family,Detached House,3,3,936,1.025953,South,$108.50,"$2,538.88","$33,851.67"
2009-01-31,2009,Waterbury,"$88,480.00","$220,000.00",Single Family,Detached House,3,1,1057,1.025953,East,$208.14,"$5,500.00","$73,333.33"
2009-01-31,2009,Fairfield,"$425,180.00","$565,000.00",Single Family,Detached House,3,1,928,1.025953,West,$608.84,"$14,125.00","$188,333.33"
2009-01-31,2009,Norwalk,"$234,290.00","$60,000.00",Single Family,Detached House,3,3,1000,1.025953,South,$60.00,"$1,500.00","$20,000.00"
2009-01-31,2009,Fairfield,"$243,740.00","$340,000.00",Single Family,Detached House,3,1,906,1.025953,West,$375.28,"$8,500.00","$113,333.33"
2009-02-01,2009,Waterbury,"$67,270.00","$200,000.00",Two Family,Duplex,4,4,1300,1.025953,South,$153.85,"$5,000.00","$50,000.00"
2009-02-01,2009,Greenwich,"$970,000.00","$970,000.00",Single Family,Detached House,3,2,1018,1.025953,North,$952.85,"$24,250.00","$323,333.33"
2009-02-01,2009,Bridgeport,"$85,540.00","$230,000.00",Single Family,Detached House,3,3,1016,1.025953,North,$226.38,"$5,750.00","$76,666.67"
2009-02-01,2009,Bridgeport,"$83,161.00","$190,000.00",Single Family,Detached House,3,3,900,1.025953,South,$211.11,"$4,750.00","$63,333.33"
2009-02-01,2009,Fairfield,"$717,010.00","$820,000.00",Single Family,Detached House,3,2,958,1.025953,North,$855.95,"$20,500.00","$273,333.33"
2009-02-01,2009,Greenwich,"$628,460.00","$800,000.00",Single Family,Detached House,3,3,1025,1.025953,East,$780.49,"$20,000.00","$266,666.67"
2009-02-02,2009,Greenwich,"$651,630.00","$770,000.00",Single Family,Detached House,3,2,1029,1.025953,East,$748.30,"$19,250.00","$256,666.67"
2009-02-05,2009,Bridgeport,"$133,070.00","$290,000.00",Single Family,Detached House,3,3,1023,1.025953,East,$283.48,"$7,250.00","$96,666.67"
2009-02-05,2009,Waterbury,"$67,200.00","$184,900.00",Three Family,Triplex,6,4,1821,1.025953,East,$101.54,"$4,622.50","$30,816.67"
2009-02-05,2009,Waterbury,"$96,250.00","$215,000.00",Single Family,Detached House,3,2,1095,1.025953,West,$196.35,"$5,375.00","$71,666.67"
2009-02-05,2009,Fairfield,"$1,334,270.00","$490,500.00",Single Family,Detached House,3,2,929,1.025953,East,$527.99,"$12,262.50","$163,500.00"
2009-02-05,2009,Waterbury,"$78,680.00","$175,000.00",Three Family,Triplex,6,4,2062,1.025953,West,$84.87,"$4,375.00","$29,166.67"
2009-02-05,2009,Greenwich,"$770,000.00","$770,000.00",Single Family,Detached House,3,2,1071,1.025953,South,$718.95,"$19,250.00","$256,666.67"
2009-02-05,2009,Waterbury,"$156,000.00","$156,000.00",Two Family,Duplex,4,3,1398,1.025953,East,$111.59,"$3,900.00","$39,000.00"
2009-02-08,2009,Bridgeport,"$174,231.00","$363,000.00",Four Family,Fourplex,8,6,2935,1.025953,South,$123.68,"$9,075.00","$45,375.00"
2009-02-08,2009,Fairfield,"$457,380.00","$750,000.00",Single Family,Detached House,3,3,995,1.025953,South,$753.77,"$18,750.00","$250,000.00"
2009-02-12,2009,Greenwich,"$2,828,910.00","$4,450,000.00",Single Family,Detached House,3,2,920,1.025953,East,"$4,836.96","$111,250.00","$1,483,333.33"
2009-02-12,2009,Norwalk,"$206,010.00","$320,000.00",Single Family,Detached House,3,1,913,1.025953,South,$350.49,"$8,000.00","$106,666.67"
2009-02-13,2009,Bridgeport,"$148,121.00","$248,000.00",Single Family,Detached House,3,1,1043,1.025953,West,$237.78,"$6,200.00","$82,666.67"
2009-02-15,2009,Bridgeport,"$73,220.00","$299,900.00",Three Family,Triplex,6,4,2142,1.025953,West,$140.01,"$7,497.50","$49,983.33"
2009-02-15,2009,Greenwich,"$1,849,120.00","$3,500,000.00",Single Family,Detached House,3,2,928,1.025953,North,"$3,771.55","$87,500.00","$1,166,666.67"
2009-02-15,2009,Bridgeport,"$117,601.00","$230,000.00",Single Family,Detached House,3,2,1016,1.025953,South,$226.38,"$5,750.00","$76,666.67"
2009-02-16,2009,Waterbury,"$76,580.00","$156,000.00",Single Family,Detached House,3,1,1000,1.025953,East,$156.00,"$3,900.00","$52,000.00"
2009-02-16,2009,Waterbury,"$70,140.00","$110,000.00",Single Family,Detached House,3,2,909,1.025953,South,$121.01,"$2,750.00","$36,666.67"
2009-02-16,2009,Bridgeport,"$110,390.00","$250,000.00",Single Family,Detached House,3,1,904,1.025953,West,$276.55,"$6,250.00","$83,333.33"
2009-02-16,2009,Bridgeport,"$168,000.00","$399,900.00",Three Family,Triplex,6,4,1876,1.025953,South,$213.17,"$9,997.50","$66,650.00"
2009-02-16,2009,Waterbury,"$77,070.00","$177,000.00",Single Family,Detached House,3,1,975,1.025953,West,$181.54,"$4,425.00","$59,000.00"
2009-02-16,2009,Bridgeport,"$91,770.00","$214,000.00",Single Family,Detached House,3,3,1000,1.025953,North,$214.00,"$5,350.00","$71,333.33"
2009-02-20,2009,Bridgeport,"$61,228.00","$7,000.00",Single Family,Detached House,3,1,1058,1.025953,East,$6.62,$175.00,"$2,333.33"
2009-02-20,2009,Waterbury,"$57,820.00","$135,000.00",Single Family,Detached House,3,2,909,1.025953,North,$148.51,"$3,375.00","$45,000.00"
2009-02-20,2009,Waterbury,"$63,010.00","$100,000.00",Single Family,Detached House,3,2,952,1.025953,South,$105.04,"$2,500.00","$33,333.33"
2009-02-21,2009,Greenwich,"$653,450.00","$1,250,000.00",Single Family,Detached House,3,2,932,1.025953,South,"$1,341.20","$31,250.00","$416,666.67"
2009-02-21,2009,Waterbury,"$47,050.00","$96,400.00",Single Family,Detached House,3,1,913,1.025953,West,$105.59,"$2,410.00","$32,133.33"
2009-02-22,2009,Greenwich,"$2,844,800.00","$5,625,000.00",Single Family,Detached House,3,2,1067,1.025953,West,"$5,271.79","$140,625.00","$1,875,000.00"
2009-02-22,2009,Greenwich,"$1,050,000.00","$1,050,000.00",Single Family,Detached House,3,2,947,1.025953,North,"$1,108.76","$26,250.00","$350,000.00"
2009-02-22,2009,Bridgeport,"$56,000.00","$240,000.00",Single Family,Detached House,3,2,959,1.025953,South,$250.26,"$6,000.00","$80,000.00"
2009-02-22,2009,Waterbury,"$91,210.00","$212,300.00",Three Family,Triplex,6,6,1928,1.025953,South,$110.11,"$5,307.50","$35,383.33"
2009-02-23,2009,Greenwich,"$7,025,000.00","$7,025,000.00",Single Family,Detached House,3,3,940,1.025953,East,"$7,473.40","$175,625.00","$2,341,666.67"
2009-02-23,2009,Norwalk,"$649,530.00","$1,049,000.00",Single Family,Detached House,3,2,1100,1.025953,West,$953.64,"$26,225.00","$349,666.67"
2009-02-23,2009,Waterbury,"$52,510.00","$121,500.00",Two Family,Duplex,4,4,1487,1.025953,West,$81.71,"$3,037.50","$30,375.00"
2009-02-26,2009,Fairfield,"$221,060.00","$300,000.00",Single Family,Detached House,3,3,1009,1.025953,North,$297.32,"$7,500.00","$100,000.00"
2009-02-27,2009,Waterbury,"$59,010.00","$230,000.00",Three Family,Triplex,6,5,2041,1.025953,North,$112.69,"$5,750.00","$38,333.33"
2009-02-27,2009,Fairfield,"$190,000.00","$190,000.00",Single Family,Detached House,3,3,1073,1.025953,South,$177.07,"$4,750.00","$63,333.33"
2009-02-28,2009,Greenwich,"$608,720.00","$826,000.00",Two Family,Duplex,4,4,1365,1.025953,South,$605.13,"$20,650.00","$206,500.00"
2009-02-28,2009,Greenwich,"$2,656,080.00","$4,755,018.00",Single Family,Detached House,3,3,1000,1.025953,West,"$4,755.02","$118,875.45","$1,585,006.00"
2009-03-01,2009,Greenwich,"$1,400,910.00","$1,900,000.00",Single Family,Detached House,3,2,960,1.025953,West,"$1,979.17","$47,500.00","$633,333.33"
2009-03-01,2009,Norwalk,"$264,040.00","$569,900.00",Single Family,Detached House,3,1,1027,1.025953,West,$554.92,"$14,247.50","$189,966.67"
2009-03-01,2009,Greenwich,"$2,098,950.00","$3,000,000.00",Single Family,Detached House,3,1,939,1.025953,West,"$3,194.89","$75,000.00","$1,000,000.00"
2009-03-01,2009,Waterbury,"$55,300.00","$48,521.00",Single Family,Detached House,3,1,1061,1.025953,North,$45.73,"$1,213.03","$16,173.67"
2009-03-01,2009,Fairfield,"$828,030.00","$1,425,000.00",Single Family,Detached House,3,3,1024,1.025953,South,"$1,391.60","$35,625.00","$475,000.00"
2009-03-05,2009,Bridgeport,"$96,600.00","$183,000.00",Two Family,Duplex,4,3,1426,1.025953,East,$128.33,"$4,575.00","$45,750.00"
2009-03-05,2009,Waterbury,"$92,120.00","$223,000.00",Single Family,Detached House,3,3,937,1.025953,West,$237.99,"$5,575.00","$74,333.33"
2009-03-05,2009,Waterbury,"$55,510.00","$130,000.00",Three Family,Triplex,6,5,2003,1.025953,North,$64.90,"$3,250.00","$21,666.67"
2009-03-06,2009,Norwalk,"$448,000.00","$448,000.00",Two Family,Duplex,4,4,1261,1.025953,North,$355.27,"$11,200.00","$112,000.00"
2009-03-06,2009,Fairfield,"$2,072,490.00","$2,084,000.00",Single Family,Detached House,3,3,1000,1.025953,East,"$2,084.00","$52,100.00","$694,666.67"
2009-03-07,2009,Norwalk,"$370,000.00","$370,000.00",Two Family,Duplex,4,2,1490,1.025953,West,$248.32,"$9,250.00","$92,500.00"
2009-03-07,2009,Bridgeport,"$126,070.00","$271,000.00",Single Family,Detached House,3,1,1052,1.025953,West,$257.60,"$6,775.00","$90,333.33"
2009-03-08,2009,Waterbury,"$85,820.00","$229,000.00",Three Family,Triplex,6,6,2003.5,1.025953,West,$114.30,"$5,725.00","$38,166.67"
2009-03-08,2009,Bridgeport,"$120,121.00","$278,100.00",Single Family,Detached House,3,1,1037,1.025953,East,$268.18,"$6,952.50","$92,700.00"
2009-03-08,2009,Greenwich,"$1,690,010.00","$1,700,000.00",Single Family,Detached House,3,2,1037,1.025953,South,"$1,639.34","$42,500.00","$566,666.67"
2009-03-12,2009,Waterbury,"$15,050.00","$102,000.00",Single Family,Detached House,3,2,1000,1.025953,West,$102.00,"$2,550.00","$34,000.00"
2009-03-12,2009,Norwalk,"$505,000.00","$505,000.00",Single Family,Detached House,3,1,1022,1.025953,South,$494.13,"$12,625.00","$168,333.33"
2009-03-13,2009,Bridgeport,"$117,110.00","$267,500.00",Single Family,Detached House,3,2,948,1.025953,South,$282.17,"$6,687.50","$89,166.67"
2009-03-13,2009,Fairfield,"$747,250.00","$1,160,000.00",Single Family,Detached House,3,1,1024,1.025953,South,"$1,132.81","$29,000.00","$386,666.67"
2009-03-14,2009,Norwalk,"$589,900.00","$589,900.00",Single Family,Detached House,3,3,1017,1.025953,North,$580.04,"$14,747.50","$196,633.33"
2009-03-14,2009,Greenwich,"$556,780.00","$850,000.00",Two Family,Duplex,4,3,1359.5,1.025953,West,$625.23,"$21,250.00","$212,500.00"
2009-03-14,2009,Fairfield,"$4,102,560.00","$7,850,000.00",Single Family,Detached House,3,2,964,1.025953,North,"$8,143.15","$196,250.00","$2,616,666.67"
2009-03-14,2009,Bridgeport,"$115,360.00","$233,000.00",Two Family,Duplex,4,2,1454,1.025953,North,$160.25,"$5,825.00","$58,250.00"
2009-03-14,2009,Waterbury,"$46,980.00","$159,000.00",Two Family,Duplex,4,4,1226,1.025953,East,$129.69,"$3,975.00","$39,750.00"
2009-03-14,2009,Greenwich,"$3,000,000.00","$3,000,000.00",Single Family,Detached House,3,3,1084,1.025953,East,"$2,767.53","$75,000.00","$1,000,000.00"
2009-03-15,2009,Greenwich,"$1,214,570.00","$2,200,000.00",Single Family,Detached House,3,1,908,1.025953,East,"$2,422.91","$55,000.00","$733,333.33"
2009-03-15,2009,Norwalk,"$248,788.00","$490,000.00",Single Family,Detached House,3,1,940,1.025953,West,$521.28,"$12,250.00","$163,333.33"
2009-03-15,2009,Bridgeport,"$166,014.00","$395,000.00",Three Family,Triplex,6,4,2184,1.025953,East,$180.86,"$9,875.00","$65,833.33"
2009-03-16,2009,Waterbury,"$149,000.00","$149,000.00",Single Family,Detached House,3,3,1098,1.025953,East,$135.70,"$3,725.00","$49,666.67"
2009-03-19,2009,Norwalk,"$197,400.00","$340,000.00",Single Family,Detached House,3,2,1025,1.025953,East,$331.71,"$8,500.00","$113,333.33"
2009-03-19,2009,Waterbury,"$55,860.00","$148,847.00",Two Family,Duplex,4,2,1339,1.025953,East,$111.16,"$3,721.18","$37,211.75"
2009-03-19,2009,Waterbury,"$147,000.00","$147,000.00",Single Family,Detached House,3,2,965,1.025953,East,$152.33,"$3,675.00","$49,000.00"
2009-03-19,2009,Norwalk,"$358,470.00","$705,000.00",Single Family,Detached House,3,3,1000,1.025953,East,$705.00,"$17,625.00","$235,000.00"
2009-03-19,2009,Bridgeport,"$172,270.00","$285,000.00",Three Family,Triplex,6,6,2117,1.025953,East,$134.62,"$7,125.00","$47,500.00"
2009-03-19,2009,Waterbury,"$97,800.00","$260,000.00",Three Family,Triplex,6,4,2003.5,1.025953,West,$129.77,"$6,500.00","$43,333.33"
2009-03-19,2009,Waterbury,"$72,310.00","$157,000.00",Single Family,Detached House,3,3,936,1.025953,West,$167.74,"$3,925.00","$52,333.33"
2009-03-19,2009,Waterbury,"$169,900.00","$169,900.00",Single Family,Detached House,3,2,1000,1.025953,West,$169.90,"$4,247.50","$56,633.33"
2009-03-19,2009,Fairfield,"$361,620.00","$525,000.00",Single Family,Detached House,3,1,1048,1.025953,West,$500.95,"$13,125.00","$175,000.00"
2009-03-20,2009,Bridgeport,"$67,500.00","$67,500.00",Two Family,Duplex,4,3,1436,1.025953,North,$47.01,"$1,687.50","$16,875.00"
2009-03-20,2009,Fairfield,"$513,240.00","$867,500.00",Single Family,Detached House,3,2,1089,1.025953,North,$796.60,"$21,687.50","$289,166.67"
2009-03-20,2009,Bridgeport,"$131,670.00","$200,000.00",Single Family,Detached House,3,2,1000,1.025953,East,$200.00,"$5,000.00","$66,666.67"
2009-03-20,2009,Bridgeport,"$126,630.00","$269,000.00",Single Family,Detached House,3,1,1053,1.025953,East,$255.46,"$6,725.00","$89,666.67"
2009-03-21,2009,Fairfield,"$345,000.00","$345,000.00",Single Family,Detached House,3,2,955,1.025953,West,$361.26,"$8,625.00","$115,000.00"
2009-03-21,2009,Norwalk,"$248,150.00","$570,000.00",Single Family,Detached House,3,2,1078,1.025953,West,$528.76,"$14,250.00","$190,000.00"
2009-03-21,2009,Fairfield,"$355,320.00","$435,000.00",Single Family,Detached House,3,3,1095,1.025953,West,$397.26,"$10,875.00","$145,000.00"
2009-03-21,2009,Greenwich,"$1,285,480.00","$2,150,000.00",Single Family,Detached House,3,2,1021,1.025953,West,"$2,105.78","$53,750.00","$716,666.67"
2009-03-22,2009,Norwalk,"$219,100.00","$427,000.00",Single Family,Detached House,3,3,1021,1.025953,West,$418.22,"$10,675.00","$142,333.33"
2009-03-23,2009,Norwalk,"$382,900.00","$777,500.00",Single Family,Detached House,3,2,900,1.025953,East,$863.89,"$19,437.50","$259,166.67"
2009-03-27,2009,Norwalk,"$286,090.00","$520,000.00",Single Family,Detached House,3,1,1058,1.025953,East,$491.49,"$13,000.00","$173,333.33"
2009-03-27,2009,Fairfield,"$385,140.00","$485,000.00",Single Family,Detached House,3,1,1000,1.025953,East,$485.00,"$12,125.00","$161,666.67"
2009-03-28,2009,Fairfield,"$377,650.00","$450,000.00",Single Family,Detached House,3,3,1100,1.025953,West,$409.09,"$11,250.00","$150,000.00"
2009-03-28,2009,Norwalk,"$202,670.00","$403,000.00",Single Family,Detached House,3,1,1000,1.025953,East,$403.00,"$10,075.00","$134,333.33"
2009-03-28,2009,Fairfield,"$541,030.00","$750,000.00",Single Family,Detached House,3,3,1079,1.025953,North,$695.09,"$18,750.00","$250,000.00"
2009-03-28,2009,Bridgeport,"$109,130.00","$235,000.00",Single Family,Detached House,3,3,985,1.025953,South,$238.58,"$5,875.00","$78,333.33"
2009-03-29,2009,Bridgeport,"$72,380.00","$249,900.00",Two Family,Duplex,4,4,1347,1.025953,South,$185.52,"$6,247.50","$62,475.00"
2009-03-30,2009,Norwalk,"$262,500.00","$412,000.00",Single Family,Detached House,3,3,1064,1.025953,South,$387.22,"$10,300.00","$137,333.33"
2009-03-30,2009,Greenwich,"$8,028,860.00","$8,236,500.00",Single Family,Detached House,3,1,1055,1.025953,North,"$7,807.11","$205,912.50","$2,745,500.00"
2009-03-30,2009,Fairfield,"$342,930.00","$820,000.00",Single Family,Detached House,3,2,924,1.025953,East,$887.45,"$20,500.00","$273,333.33"
2009-03-30,2009,Waterbury,"$16,660.00","$15,000.00",Three Family,Triplex,6,4,1978,1.025953,South,$7.58,$375.00,"$2,500.00"
2009-03-30,2009,Greenwich,"$500,000.00","$500,000.00",Single Family,Detached House,3,1,1048,1.025953,West,$477.10,"$12,500.00","$166,666.67"
2009-03-30,2009,Bridgeport,"$155,960.00","$355,000.00",Three Family,Triplex,6,5,2146,1.025953,South,$165.42,"$8,875.00","$59,166.67"
2009-03-30,2009,Bridgeport,"$126,420.00","$177,500.00",Single Family,Detached House,3,3,931,1.025953,North,$190.66,"$4,437.50","$59,166.67"
2009-03-30,2009,Waterbury,"$99,260.00","$295,000.00",Four Family,Fourplex,8,6,2983,1.025953,North,$98.89,"$7,375.00","$36,875.00"
2009-03-30,2009,Bridgeport,"$112,910.00","$299,750.00",Single Family,Detached House,3,3,919,1.025953,West,$326.17,"$7,493.75","$99,916.67"
2009-04-02,2009,Fairfield,"$303,170.00","$490,000.00",Single Family,Detached House,3,1,1000,1.025953,West,$490.00,"$12,250.00","$163,333.33"
2009-04-02,2009,Bridgeport,"$195,000.00","$195,000.00",Single Family,Detached House,3,1,906,1.025953,South,$215.23,"$4,875.00","$65,000.00"
2009-04-02,2009,Waterbury,"$62,930.00","$196,000.00",Three Family,Triplex,6,5,1953,1.025953,South,$100.36,"$4,900.00","$32,666.67"
2009-04-02,2009,Norwalk,"$224,770.00","$430,000.00",Single Family,Detached House,3,2,1091,1.025953,East,$394.13,"$10,750.00","$143,333.33"
